PLAYER,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD
"Kevin Byard, S",TEN,17,34,51,0,0,12,6,100,33,0,0,1,0
"Micah Hyde, S",BUF,7,36,43,0,0,8,5,64,37,0,0,0,0
"Darius Slay, CB",DET,3,29,32,0,0,13,4,52,37,0,0,0,0
"Antoine Bethea, S",ARI,5,33,38,1,8,6,3,37,21,0,0,0,0
"Eric Weddle, S",BAL,9,31,40,0,0,5,3,24,22,0,1,0,0
"Brandon Carr, CB",BAL,5,27,32,0,0,7,3,57,33,0,0,0,0
"Jason McCourty, CB",CLE,6,21,27,0,0,9,3,59,56,1,2,0,0
"Glover Quin, S",DET,14,32,46,0,0,5,3,62,37,1,2,1,0
"Patrick Robinson, CB",PHI,5,24,29,0,0,11,3,17,17,0,0,0,0
"Mark Barron, LB",LAR,7,56,63,1,2,4,3,29,15,0,0,0,0
"Harrison Smith, S",MIN,11,40,51,1.5,10,6,3,25,19,0,0,0,0
"Tashaun Gipson, S",JAX,6,33,39,0,0,5,3,76,67,0,0,1,0
"Kenny Vaccaro, S",NO,9,30,39,0.5,5,7,3,41,30,0,0,1,1
"A.J. Bouye, CB",JAX,2,28,30,0,0,11,3,70,51,0,0,0,0
"Ryan Shazier, LB",PIT,14,55,69,0,0,10,3,2,2,0,2,1,0
"Tre Boston, S",LAC,15,33,48,0,0,6,3,15,15,0,0,0,0
"Marcus Peters, CB",KC,1,24,25,0,0,5,3,63,38,0,2,1,1
"Jalen Mills, CB",PHI,9,34,43,0,0,10,3,53,37,1,0,0,0
"Damarious Randall, CB",GB,5,27,32,0,0,4,3,35,21,1,0,1,0
"Kendall Fuller, CB",WSH,7,23,30,0,0,5,3,3,3,0,1,0,0
"Malik Hooker, S",IND,6,16,22,0,0,4,3,73,32,0,0,0,0
"Mike Adams, S",CAR,11,26,37,0,0,5,2,42,40,0,0,0,0
"Johnathan Joseph, CB",HOU,7,22,29,0,0,6,2,85,82,1,0,0,0
"Brent Grimes, CB",TB,1,26,27,0,0,6,2,67,39,0,0,0,0
"Lardarius Webb, S",BAL,1,28,29,2,13,4,2,10,10,0,1,0,0
"Earl Thomas, S",SEA,14,24,38,0,0,5,2,97,78,1,1,0,0
"Reshad Jones, S",MIA,8,47,55,0.5,5,3,2,15,15,0,0,2,1
"Jimmy Smith, CB",BAL,2,21,23,0,0,8,2,58,50,1,0,1,1
"Richard Sherman, CB",SEA,10,25,35,0,0,7,2,20,19,0,0,0,0
"Luke Kuechly, LB",CAR,27,38,65,0,0,3,2,23,23,0,1,0,0
"Trumaine Johnson, CB",LAR,4,33,37,0,0,8,2,39,39,1,1,1,0
"Rodney McLeod, S",PHI,7,16,23,0,0,5,2,54,50,0,1,0,0
"D.J. Swearinger, S",WSH,10,31,41,0.5,3,6,2,32,31,0,0,0,0
"Jordan Poyer, S",BUF,15,35,50,2,18,7,2,13,13,0,0,1,0
"Nickell Robey-Coleman, CB",LAR,8,21,29,0,0,5,2,56,31,0,1,1,0
"Rashaan Melvin, CB",IND,6,30,36,0,0,12,2,28,21,0,0,0,0
"Ray-Ray Armstrong, LB",SF,15,39,54,1,5,2,2,29,29,0,1,0,0
"C.J. Mosley, LB",BAL,19,57,76,1,13,2,2,94,63,1,1,1,0
"Terrence Brooks, S",NYJ,2,6,8,0,0,3,2,13,13,0,0,0,0
"Lamarcus Joyner, S",LAR,6,19,25,0,0,4,2,58,29,1,0,0,0
"Telvin Smith, LB",JAX,17,54,71,1,1,4,2,30,28,1,1,1,0
"Terrance Mitchell, CB",KC,5,34,39,0,0,10,2,0,0,0,0,0,0
"Malcolm Butler, CB",NE,3,32,35,0,0,8,2,-1,1,0,1,0,0
"Andre Hal, S",HOU,17,24,41,0,0,4,2,3,3,0,1,0,0
"Trae Waynes, CB",MIN,6,37,43,0,0,8,2,21,18,0,0,0,0
"Marcus Maye, S",NYJ,13,36,49,0,0,2,2,44,32,0,1,0,0
"Dylan Cole, LB",HOU,10,9,19,1,1,2,2,28,25,1,0,0,0
"Jalen Ramsey, CB",JAX,4,26,30,0,0,13,2,16,15,0,0,0,0
"Marshon Lattimore, CB",NO,5,31,36,0,0,8,2,52,27,1,1,0,0
"Rasul Douglas, CB",PHI,1,17,18,0,0,9,2,7,7,0,0,0,0
"Tramon Williams, CB",ARI,0,18,18,0,0,6,1,0,0,0,0,0,0
"Karlos Dansby, LB",ARI,13,38,51,1,8,3,1,4,4,0,0,0,0
"Corey Graham, S",PHI,2,15,17,0,0,3,1,14,14,0,0,0,0
"William Gay, CB",PIT,2,10,12,0,0,3,1,-1,-1,0,1,0,0
