Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,FUM
Aaron Jones,GB,RB,62,10.3,346,5.6,57.7,3,46,0
Aaron Rodgers,GB,QB,18,3,83,4.6,13.8,0,18,0
Adoree' Jackson,TEN,CB,1,0.1,20,20,2.5,0,20,0
Adrian Peterson,ARI,RB,74,24.7,314,4.2,104.7,2,27,2
Alex Collins,BAL,RB,93,11.6,521,5.6,65.1,0,50,2
Alex Smith,KC,QB,37,4.1,173,4.7,19.2,1,32,1
Alfred Blue,HOU,RB,9,1.8,33,3.7,6.6,0,8,0
Alfred Morris,DAL,RB,14,2,116,8.3,16.6,0,70,0
Alvin Kamara,NO,RB,52,6.5,311,6,38.9,3,25,1
Ameer Abdullah,DET,RB,101,14.4,369,3.7,52.7,1,34,0
Andre Ellington,ARI,RB,13,1.9,49,3.8,7,0,14,0
Andy Dalton,CIN,QB,23,2.9,53,2.3,6.6,0,12,0
ArDarius Stewart,NYJ,WR,3,0.4,18,6,2.2,0,11,0
Austin Ekeler,LAC,RB,15,1.9,82,5.5,10.2,1,35,0
Benny Cunningham,CHI,RB,7,1.2,30,4.3,5,0,12,0
Bernard Reedy,TB,WR,3,0.4,17,5.7,2.1,0,10,0
Bilal Powell,NYJ,RB,83,10.4,390,4.7,48.8,2,75,0
Blake Bortles,JAX,QB,26,3.2,157,6,19.6,0,27,0
Branden Oliver,LAC,RB,20,4,61,3.1,12.2,0,26,0
Brett Hundley,GB,QB,4,1.3,47,11.8,15.7,1,22,1
C.J. Anderson,DEN,RB,116,14.5,482,4.2,60.2,1,40,0
C.J. Beathard,SF,QB,15,3,100,6.7,20,2,16,0
C.J. Prosise,SEA,RB,8,2,20,2.5,5,0,8,0
Cam Newton,CAR,QB,69,7.7,341,4.9,37.9,4,34,2
Carlos Hyde,SF,RB,124,13.8,494,4,54.9,4,61,1
Carson Wentz,PHI,QB,44,4.9,211,4.8,23.4,0,24,3
Case Keenum,MIN,QB,10,1.4,64,6.4,9.1,0,22,0
Charcandrick West,KC,RB,6,0.8,26,4.3,3.2,1,21,0
Charles Sims,TB,RB,8,1,31,3.9,3.9,0,14,0
Chris Carson,SEA,RB,49,12.2,208,4.2,52,0,30,0
Chris Hogan,NE,WR,3,0.4,17,5.7,2.1,0,13,0
Chris Ivory,JAX,RB,77,9.6,279,3.6,34.9,1,19,1
Chris Johnson,ARI,RB,45,11.2,114,2.5,28.5,0,11,0
Chris Thompson,WAS,RB,51,6.4,251,4.9,31.4,2,61,1
